txn_date,txn_description,deposit_amount
24/08/2018,CMS/CENTRAL DEPOSITORY/DIV 2018                   ,24.5
24/08/2018,ACH/NESTLE INDIA LTD./0000000000000000000000000624,20
24/08/2018,ACH/Larsen & Toubro Info/103695                   ,14
24/08/2018,ACH/L&T TECHNOLOGY SERV/1468702                   ,12
24/08/2018,ACH/BALKRISHNAINDUSTRIES/1829445                  ,4
24/08/2018,ACH/BRIGADE ENTERPRISES/1342054                   ,18
24/08/2018,ACH/HONEYWELLDIV240818/HO000042191208160005654412 ,32
27/08/2018,ACH/BAYER DIV 270818/B100042207IN30267934786175   ,18
27/08/2018,ACH/LARSEN & TOUBRO LTD/7283510                   ,112
28/08/2018,CMS/NLC INDIA LTD/FINAL DIV 2018                  ,3.24
28/08/2018,"ACH/UPL Limited,/101227                           ",56
28/08/2018,ACH/JK TYRE AND INDUSTRI/0000000000000000000000000,21
28/08/2018,ACH/AMR FIN DIV 2018/WN029830 CL IN30267934786175 ,6.45
28/08/2018,ACH/MARUTI SUZUKI INDIA/2844248                   ,80
29/08/2018,ACH/Future Supply Chain/32213                     ,2
29/08/2018,ACH/Page Industries Limi/42878                    ,41
29/08/2018,ACH/BOSCH FINDIV 2017-18/1208160005654412         ,100
29/08/2018,ACH/Monsanto India Limit/15567                    ,30
30/08/2018,CMS/DR LAL PATHLABS/FINAL DIV17-18                ,6
30/08/2018,ACH/Aegis Logistics Limi/49937                    ,3
31/08/2018,ACH/L&T Finance Holdings/397407                   ,6
31/08/2018,ACH/VOLTAS FIN DIV1718/VO00105693IN30267934786175 ,16
31/08/2018,ACH/GREENPLY INDUSTRIES/IN30267934786175014882    ,3
31/08/2018,ACH/KRBL LIMITED/12022                            ,11.5
01/09/2018,ACH/Greenlam Industries/4841                      ,5
01/09/2018,ACH/Future Lifestyle Fas/32300                    ,7.2
03/09/2018,ACH/PIDILITE FNDIV 18/PL00087136IN30267934786175  ,18
03/09/2018,ACH/Hindustan Petroleum/195474                    ,15
04/09/2018,ACH/INDIAN OIL CORPN/5869928                      ,24
04/09/2018,"ACH/Arvind Limited,/178508                        ",14.4
04/09/2018,ACH/MFL INTDIV Q2 FY1819/192091971                ,5.5
05/09/2018,ACH/CIPLA LIMITED/4247891                         ,12
05/09/2018,ACH/CERA SANITARYWARE LI/0000000000000000000000000,12
05/09/2018,ACH/SOMANY CERAMICS LTD./4734                     ,2.7
07/09/2018,CMS/ICICI SECURITIES/FIN DIV17-18                 ,15.6
07/09/2018,ACH/Cummins India Limite/64494                    ,30
10/09/2018,ACH/MCX OF INDIA LTD/2417879                      ,17
10/09/2018,ACH/GENERAL INSURANCE CO/1230013                  ,27
10/09/2018,ACH/CARE RATINGS LIMITED/3038926                  ,12
11/09/2018,ACH/PFIZER LIMITED/2464271                        ,20
11/09/2018,ACH/KAJARIA CERAMICS LIM/0000000000000000000000000,9
12/09/2018,ACH/HSIL LTD./17128                               ,24
12/09/2018,CMS/ICICI BANK/23RD DIVIDEND FY18                 ,24
17/09/2018,ACH/GRASIM INDUSTRIES/1802725                     ,6.2
19/09/2018,ACH/PETRONET LNG LIMITED/5844972                  ,40.5
21/09/2018,ACH/BHARAT PETROLEUM COR/BPCLIN30267934786175     ,35
24/09/2018,ACH/CHAMBAL FERTILISERS/IN30267934786175          ,13.3
24/09/2018,ACH/NATIONAL ALUMINIUM C/1695450                  ,34
25/09/2018,ACH/HINDALCO INDUSTRIES/IN30267934786175-         ,16.8
25/09/2018,ACH/Whirlpool Of India L/41081                    ,8
25/09/2018,ACH/ENGINEERS INDIA LTD/3957121                   ,25.5
25/09/2018,ACH/Asian Granito India/23392                     ,2.6
26/09/2018,ACH/POWER GRID CORPORATI/24472613                 ,81.2
26/09/2018,ACH/Prestige Estates Pro/11881                    ,10.8
29/09/2018,ACH/GAIL (INDIA) LTD./0000000000000000000000001064,8.64
29/09/2018,ACH/RELAXO FOOTWEARS LTD/1611665                  ,6
29/09/2018,ACH/BHARAT DYNAMICS LIMI/0000000000000000000000001,21.87
29/09/2018,ACH/CENTURY PLYBOARDS (I/19176                    ,7
01/10/2018,ACH/NTPC LIMITED/000000000000000000000000482299   ,100.38
01/10/2018,ACH/Sun Pharmaceutical I/503852                   ,30
01/10/2018,ACH/Godfrey Phillips Ind/19051                    ,16
01/10/2018,ACH/Jubliant Foodworks L/45149                    ,10
03/10/2018,ACH/INDRAPRASTHA GAS LIM/1693038                  ,8
03/10/2018,ACH/GLENMARK PHARMA/2098129                       ,8
03/10/2018,"ACH/Puravankara Limited,/29416                    ",36.8
03/10/2018,ACH/DLF LIMITED/10036353                          ,8
03/10/2018,ACH/Talwalkars Lifestyle/18881                    ,11
03/10/2018,"ACH/Zee Learn Ltd,/96030                          ",4.7
04/10/2018,ACH/APOLLO HOSPITALS ENT/IN30267934786175         ,30
05/10/2018,ACH/OIL INDIA LIMITED/5792455                     ,10
05/10/2018,ACH/CONTAINER CORPORATIO/CN13091836351            ,15
05/10/2018,ACH/PVR LIMITED/1429120                           ,4
05/10/2018,ACH/OIL AND NATURAL GAS/00000000000000000000000055,34
08/10/2018,ACH/VENKY'S INDIA LTD/WHL/FIN/2018/N27982         ,8
10/10/2018,ACH/JAIN IRRIGATION SYST/163470                   ,10
10/10/2018,ACH/BHEL/10343335                                 ,28
10/10/2018,ACH/UBL FIN DIV 2017-18/IN30267934786175          ,4
11/10/2018,ACH/NBCC (INDIA) LIMITED/NBC/FIN/2018/152440      ,11.2
11/10/2018,ACH/Talwalkars Better Va/22445                    ,4
11/10/2018,ACH/TCOOK FINDIV111018/CK00054257IN30267934786175 ,3.75
12/10/2018,ACH/RAJESH EXPO DIV18/19616                       ,4
15/10/2018,ACH/RURAL ELETRIFICATION/6779926                  ,21
15/10/2018,ACH/VST INDUSTRIES LTD/1612458                    ,77.5
22/10/2018,ACH/NHPC LIMITED/14557582                         ,11.2
23/10/2018,ACH/CARE RATINGS LIMITED/3139430                  ,74
24/10/2018,ACH/BEL FIN DIV 2017-18/IN30267934786175          ,5.2
26/10/2018,ACH/PC JEWELLER LIMITED/838812                    ,7
30/10/2018,ACH/INFOSYS LIMITED/16715172                      ,168
30/10/2018,ACH/TCS2NDINTDIV301018/C200622272IN30267934786175 ,64
31/10/2018,ACH/INDIABULLS HOUSING/4073619                    ,10
01/11/2018,ACH/HINDUSTAN UNILEVER/15670703                   ,63
01/11/2018,ACH/APL INT DIV 011118/AN00182610IN30267934786175 ,22.8
02/11/2018,CMS/ICICI LOMBARD/1ST INTERIM DIV 18-19           ,10
03/11/2018,ACH/TVS MOTOR COMPANY L/N17060541633              ,13
06/11/2018,ACH/Larsen & Toubro Info/109021                   ,13
08/11/2018,ACH/BHARTI INFRATEL LTD/929308                    ,22.5
09/11/2018,ACH/HCL TECHNOLOGIES LIM/0000000000000000000000001,14
09/11/2018,ACH/BHARTI AIRTEL LTD/5840206                     ,67.5
12/11/2018,CMS/ICICI SECURITIES/1ST INTERIM 18-19            ,14.8
12/11/2018,ACH/L&T TECHNOLOGY SERVI/1571910                  ,7.5
12/11/2018,ACH/Dish TV India Limite/130604                   ,14
12/11/2018,ACH/CRISIL LIMITED/5321170                        ,14
12/11/2018,ACH/SUPREME INDUSTRIES L/SU2/INT/2019/N28871      ,8
14/11/2018,"ACH/Nilkamal Limited,/20401                       ",8
16/11/2018,CMS/STFC/INTERIM DIVIDEND 2018-19                 ,5
16/11/2018,CMS/ICICI PRU/1ST INTERIM DIV18-19 3466838        ,9.6
16/11/2018,ACH/COX & KINGS LIMITED/920949                    ,8
17/11/2018,ACH/BALKRISHNAINDUSTRIES/1942085                  ,4
19/11/2018,ACH/Info-Edge India Limi/22591                    ,7.5
19/11/2018,ACH/HCIL INT DIV 2018-19/IN30267934786175         ,8
20/11/2018,ACH/PI INDUSTRIES LTD/1731348                     ,2.5
20/11/2018,ACH/DCM SHRIRAM LIMITED/00000000000000000000000001,12
20/11/2018,ACH/EXIDE INDUSTRIES LIM/116464                   ,8
22/11/2018,ACH/VEDANTA LIMITED/8925203                       ,340
22/11/2018,ACH/DABUR INDIA LIMITED/4031319                   ,9
22/11/2018,ACH/Colgate-Palmolive (I/163324                   ,16
22/11/2018,ACH/VRL LOGISTICS LTD/325914                      ,21
22/11/2018,ACH/Monsanto India Limit/14841                    ,50
23/11/2018,ACH/CARE RATINGS LIMITED/3237361                  ,12
26/11/2018,ACH/PETRONET LNG LIMITED/6245465                  ,49.5
27/11/2018,ACH/GODREJ CONSUMER PROD/53233                    ,12
27/11/2018,ACH/Page Industries Limi/50256                    ,151
28/11/2018,ACH/MRF LIMITED/3000000009727                     ,3
29/11/2018,"ACH/Marico Limited,/67725                         ",14
30/11/2018,ACH/AMR INT1 DIV 2019/WN030513 CL IN30267934786175,6
30/11/2018,ACH/Dr. Lal PathLabs Lim/38846                    ,5
30/11/2018,ACH/AUROBINDO PHARMA LIM/4940849                  ,3.75
03/12/2018,ACH/MFL INTDIV Q3 FY1819/193094305                ,5.5
04/12/2018,ACH/KAVERI SEED COMPANY/KV1/INT/2019/N15859       ,6
11/12/2018,ACH/Procter & Gamble Hyg/30283                    ,40
12/12/2018,ACH/GILLETTE INDIA LIMIT/IN30267934786175         ,23
15/12/2018,ACH/BSE LIMITED/2238495                           ,25
21/12/2018,ACH/NESTLE INDIA LTD./0000000000000000000000000744,50
28/12/2018,ACH/INDIAN OIL CORPN LTD/6458144                  ,81
05/01/2019,ACH/COAL INDIA LTD/000000000000000000000000546883 ,225
24/01/2019,ACH/TCS3RDINTDIV240119/C200662305IN30267934786175 ,68
28/01/2019,ACH/INFOSYS LIMITED/17762266                      ,96
05/02/2019,ACH/WIPRO LIMITED/8708563                         ,25
05/02/2019,ACH/HAT INT DIV 2019/IN30267934786175             ,4
06/02/2019,ACH/COROMANDEL INTERNATI/2447192                  ,21
11/02/2019,ACH/SIEMENSFINDIV 2018/SN00109792IN30267934786175 ,21
11/02/2019,ACH/IIFL Holdings Limite/35988                    ,10
14/02/2019,ACH/Info-Edge India Limi/22427                    ,4.5
14/02/2019,ACH/HCL TECHNOLOGIES LIM/0000000000000000000000001,14
14/02/2019,ACH/NTPC LIMITED/000000000000000000000000486954   ,175.42
16/02/2019,ACH/INDIABULLS HOUSING/4286017                    ,20
16/02/2019,ACH/CHOLAMANDALAM INVEST/2238824                  ,4.5
18/02/2019,ACH/HERO MOTOCORP LTD./3201353                    ,110
18/02/2019,ACH/CARBORUNDUM UNIVERSA/2618401                  ,10.5
18/02/2019,ACH/DCM SHRIRAM LIMITED/00000000000000000000000001,12.6
20/02/2019,ACH/Hindustan Petroleum/229253                    ,78
20/02/2019,ACH/EID PARRY (INDIA) LI/3139460                  ,22
20/02/2019,ACH/GODREJ CONSUMER PROD/85571                    ,6
20/02/2019,ACH/BALRAMPURCHINIMILLS/1265403                   ,45
21/02/2019,ACH/BHEL/10862759                                 ,33
21/02/2019,ACH/BALKRISHNAINDUSTRIES/2145293                  ,6
22/02/2019,ACH/GAIL (INDIA) LTD./0000000000000000000000001069,37.5
22/02/2019,ACH/ENGINEERS INDIA LTD/4249914                   ,55.25
22/02/2019,ACH/VIP Industries Limit/72583                    ,13.2
22/02/2019,ACH/TI FINANCIAL HOLDING/3515416                  ,2.4
22/02/2019,ACH/TUBE INVESTMENTS OF/5316681                   ,17.5
26/02/2019,ACH/SFI INT1 DIV 2019/WNA922181-9 CLIN302679347861,5
28/02/2019,ACH/BEL INT DIV 2018-19/IN30267934786175          ,3.9
28/02/2019,ACH/All Cargo Logistics/50029                     ,52.5
28/02/2019,ACH/AUROBINDO PHARMA LIM/5136588                  ,3.75
04/03/2019,ACH/MFL INTDIV Q4 FY1819/194085976                ,5.5
05/03/2019,ACH/NHPC LIMITED/15545876                         ,56.8
05/03/2019,ACH/BHARAT PETROLEUM COR/BPCLIN30267934786175     ,88
05/03/2019,ACH/Procter & Gamble Hyg/29653                    ,40
06/03/2019,"ACH/Marico Limited,/72090                         ",28
06/03/2019,ACH/Cummins India Limite/65835                    ,28
06/03/2019,ACH/GILLETTE INDIA LIMIT/IN30267934786175         ,19
07/03/2019,ACH/CARE RATINGS LIMITED/3338628                  ,12
07/03/2019,ACH/OIL AND NATURAL GAS/00000000000000000000000056,168
08/03/2019,ACH/OIL INDIA LIMITED/6102492                     ,85
12/03/2019,ACH/HDFCASSET MANAGEMENT/423819                   ,156
18/03/2019,ACH/VEDANTA LIMITED/9667806                       ,59.2
19/03/2019,ACH/REC LIMITED/7160011                           ,220
22/03/2019,ACH/TVS MOTOR COMPANY L/N17060541633              ,8
22/03/2019,ACH/HDFC LIFE INSURANCE/1721243                   ,9.78
22/03/2019,ACH/POWER GRID CORPORATI/25458543                 ,204.05
25/03/2019,ACH/BEL 2INTDIV 2018-19/IN30267934786175          ,9.1
25/03/2019,ACH/HDFC INTERIM DIV 201/0000000000000000000000001,31.5
25/03/2019,ACH/NTPC LIMITED/3469769                          ,16.93
26/03/2019,ACH/HUDCO LIMITED/000000000000000000000000251534  ,21.6
27/03/2019,ACH/WIPRO LTD/8913005                             ,87.61
28/03/2019,ACH/NATIONAL ALUMINIUM C/1927258                  ,216
28/03/2019,ACH/ACCLTD/70676                                  ,42
29/03/2019,ACH/COAL INDIA LTD/000000000000000000000000572620 ,181
30/03/2019,ACH/NLC INDIA LIMITED/NLCIN30267934786175         ,108.72
30/03/2019,ACH/INDIAN OIL CORPN LTD/7002529                  ,30
