amfi_rank, amfi_cname, amfi_isin, amfi_ticker, amfi_mcap, amfi_captype
119, Dalmia bharat, INE439L01019, DALMIABHA, 24996, Mid Cap
120, Larsen toubro infotech, INE214T01019, LTI, 24711, Mid Cap
121, Alkem laboratories, INE540L01014, ALKEM, 24601, Mid Cap
122, Iifl holdings, INE530B01024, IIFL, 23276, Mid Cap
123, Torrent pharmaceuticals, INE685A01028, TORNTPHARM, 23181, Mid Cap
124, Cholamandalam investment finance company, INE121A01016, CHOLAINV, 23112, Mid Cap
125, Jindal steel power, INE749A01030, JINDALSTEL, 22991, Mid Cap
126, Tata power co, INE245A01021, TATAPOWER, 22811, Mid Cap
127, 3m, INE470A01017, 3MINDIA, 22225, Mid Cap
128, Balkrishna industries, INE787D01026, BALKRISIND, 22142, Mid Cap
129, Gruh finance, INE580B01029, GRUH, 21963, Mid Cap
130, Cummins, INE298A01020, CUMMINSIND, 21619, Mid Cap
131, Gillette, INE322A01010, GILLETTE, 21395, Mid Cap
132, Rajesh exports, INE343B01030, RAJESHEXPO, 21298, Mid Cap
133, Rbl bank, INE976G01028, RBLBANK, 21223, Mid Cap
134, Pnb housing finance, INE572E01012, PNBHOUSING, 20749, Mid Cap
135, Glaxosmithkline pharmaceuticals, INE159A01016, GLAXO, 20596, Mid Cap
136, Indraprashtha gas, INE203G01027, IGL, 20204, Mid Cap
137, Vakrangee, INE051B01021, VAKRANG, 19910, Mid Cap
138, Exide industries, INE302A01020, EXIDEIND, 19862, Mid Cap
139, Voltas, INE226A01021, VOLTAS, 19763, Mid Cap
140, Adani transmission, INE931S01010, ADANITRANS, 19729, Mid Cap
141, Godrej industries, INE233A01035, GODREJIND, 19512, Mid Cap
142, Mangalore refinery petrochemicals, INE103A01014, MRPL, 19398, Mid Cap
143, Sundaram finance, INE660A01013, SUNDARMFIN, 19362, Mid Cap
144, Whirlpool of, INE716A01013, WHIRLPOOL, 19350, Mid Cap
145, Au small finance bank, INE949L01017, AUBANK, 18832, Mid Cap
146, Castrol, INE172A01027, CASTROLIND, 18673, Mid Cap
147, Idbi bank, INE008A01015, IDBI, 18589, Mid Cap
148, Federal bank, INE171A01029, FEDERALBNK, 18519, Mid Cap
149, Canara bank, INE476A01014, CANBK, 18514, Mid Cap
150, Tata chemicals, INE092A01019, TATACHEM, 18401, Mid Cap
151, Nbcc, INE095N01031, NBCC, 18245, Mid Cap
152, Dewan housing finance corpn, INE202B01012, DHFL, 18199, Mid Cap
153, The ramco cements, INE331A01037, RAMCOCEM, 18170, Mid Cap
154, Tata communications, INE151A01013, TATACOMM, 17902, Mid Cap
155, Mphasis, INE356A01018, MPHASIS, 17875, Mid Cap
156, Endurance technologies, INE913H01037, ENDURANCE, 17760, Mid Cap
157, Tata global beverages, INE192A01025, TATATEA, 17554, Mid Cap
158, Adani enterprises, INE423A01024, ADANIENT, 17540, Mid Cap
159, Oberoi realty, INE093I01010, OBEROIREAL, 17287, Mid Cap
160, Kiocl, INE880L01014, KIOCL, 16803, Mid Cap
161, Idfc bank, INE092T01019, IDFCBANK, 16715, Mid Cap
162, Godrej properties, INE484J01027, GODREJPROP, 16691, Mid Cap
163, Muthoot finance, INE414G01012, MUTHOOTFIN, 16503, Mid Cap
164, Indian hotels co, INE053A01029, INDHOTEL, 16299, Mid Cap
165, Central bank of, INE483A01010, CENTRALBK, 16195, Mid Cap
166, Bank of, INE084A01016, BANKINDIA, 16121, Mid Cap
167, Supreme industries, INE195A01028, SUPREMEIND, 16035, Mid Cap
168, Indian bank, INE562A01011, INDIANB, 15942, Mid Cap
169, Glenmark pharmaceuticals, INE935A01035, GLENMARK, 15862, Mid Cap
170, Motilal oswal financial services, INE338I01027, MOTILALOFS, 15738, Mid Cap
171, Honeywell automation, INE671A01010, HONAUT, 15719, Mid Cap
172, Reliance nippon life asset management, INE298J01013, RNAM, 15713, Mid Cap
173, Apollo tyres, INE438A01022, APOLLOTYRE, 15658, Mid Cap
174, Quess corp, INE615P01015, QUESS, 15613, Mid Cap
175, Indiabulls ventures, INE274G01010, IBVENTURES, 15401, Mid Cap
176, Natco pharma, INE987B01026, NATCOPHARM, 15306, Mid Cap
177, Jubilant foodworks, INE797F01012, JUBLFOOD, 15251, Mid Cap
178, Bharat financial inclusion, INE180K01011, BHARATFIN, 15241, Mid Cap
179, Info edge, INE663F01024, NAUKRI, 15221, Mid Cap
180, Apollo hospitals enterprises, INE437A01024, APOLLOHOSP, 15150, Mid Cap
181, Bayer cropscience, INE462A01022, BAYERCROP, 15077, Mid Cap
182, Crompton greaves consumer electricals, INE299U01018, CROMPTON, 14941, Mid Cap
183, Nlc, INE589A01014, NLCINDIA, 14873, Mid Cap
184, Graphite, INE371A01025, GRAPHITE, 14698, Mid Cap
185, Coromandel international, INE169A01031, COROMANDEL, 14652, Mid Cap
186, Wabco, INE342J01019, WABCOINDIA, 14341, Mid Cap
187, Shriram city union finance, INE722A01011, SHRIRAMCIT, 14176, Mid Cap
188, National aluminium co, INE139A01034, NATIONALUM, 14113, Mid Cap
189, Mindtree, INE018I01017, MINDTREE, 14046, Mid Cap
190, Aia engineering, INE212H01026, AIAENG, 14029, Mid Cap
191, Housing &urban development corporation, INE031A01017, HUDCO, 13963, Mid Cap
192, Thermax, INE152A01029, THERMAX, 13876, Mid Cap
193, Amara raja batteries, INE885A01032, AMARAJABAT, 13871, Mid Cap
194, Dilip buildcon, INE917M01012, DBL, 13554, Mid Cap
195, Sjvn, INE002L01015, SJVN, 13496, Mid Cap
196, Crisil, INE007A01025, CRISIL, 13462, Mid Cap
197, Max financial services, INE180A01020, MFSL, 13247, Mid Cap
198, Sterlite technologies, INE089C01029, STRTECH, 13244, Mid Cap
199, Jubilant life sciences, INE700A01033, JUBILANTORG, 13186, Mid Cap
200, Cesc, INE486A01013, CESC, 13119, Mid Cap
201, Jsw energy, INE121E01018, JSWENERGY, 13027, Mid Cap
202, Century textiles industries, INE055A01016, CENTURYTEX, 13016, Mid Cap
203, L&t technology services, INE010V01017, LTTS, 12857, Mid Cap
204, Abbott, INE358A01014, ABBOTINDIA, 12765, Mid Cap
205, Ti financial holdings, INE149A01033, TIFHL, 12673, Mid Cap
206, Varun beverages, INE200M01013, VBL, 12424, Mid Cap
207, Icici securities, INE763G01038, ISEC, 12367, Mid Cap
208, Godrej agrovet, INE850D01014, GODREJAGRO, 12289, Mid Cap
209, Torrent power, INE813H01021, TORNTPOWER, 12179, Mid Cap
210, Sundram fasteners, INE387A01021, SUNDRMFAST, 12169, Mid Cap
211, Pc jeweller, INE785M01013, PCJEWELLER, 12155, Mid Cap
212, Symphony, INE225D01027, SYMPHONY, 12043, Mid Cap
213, Krbl, INE001B01026, KRBL, 12012, Mid Cap
214, Syngene international, INE398R01022, SYNGENE, 11974, Mid Cap
215, Pi industries, INE603J01030, PIIND, 11954, Mid Cap
216, Reliance infrastructure, INE036A01016, RELINFRA, 11927, Mid Cap
217, City union bank, INE491A01021, CUB, 11856, Mid Cap
218, Heg, INE545A01016, HEG, 11831, Mid Cap
219, Hexaware technologies, INE093A01033, HEXAWARE, 11724, Mid Cap
220, Gujarat gas, INE844O01022, GUJGAS, 11684, Mid Cap
221, Jm financial, INE780C01023, JMFINANCIL, 11651, Mid Cap
222, Aditya birla fashion retail, INE647O01011, ABFRL, 11628, Mid Cap
223, Reliance power, INE614G01033, RPOWER, 11458, Mid Cap
224, Reliance capital, INE013A01015, RELCAPITAL, 11445, Mid Cap
225, Sanofi, INE058A01010, SANOFI, 11435, Mid Cap
226, Gmr infrastructure, INE776C01039, GMRINFRA, 11423, Mid Cap
227, Hatsun agro products, INE473B01035, HATSUN, 11407, Mid Cap
228, Ajanta pharma, INE031B01049, AJANTPHARM, 11293, Mid Cap
229, Srf, INE647A01010, SRF, 11244, Mid Cap
230, Rain industries, INE855B01025, RAIN, 11200, Mid Cap
231, Future consumer, INE220J01025, FCONSUMER, 11161, Mid Cap
232, Prestige estates projects, INE811K01011, PRESTIGE, 11118, Mid Cap
233, Trent [lakme ], INE849A01020, TRENT, 11031, Mid Cap
234, Gujarat state petronet, INE246F01010, GSPL, 10819, Mid Cap
235, Escorts, INE042A01014, ESCORTS, 10803, Mid Cap
236, Astral poly technik, INE006I01046, ASTRAL, 10735, Mid Cap
237, Adani power, INE814H01011, ADANIPOWER, 10730, Mid Cap
238, Arvind, INE034A01011, ARVIND, 10637, Mid Cap
239, Eris lifesciences, INE406M01024, ERIS, 10618, Mid Cap
240, Sun pharma advanced research company, INE232I01014, SPARC, 10504, Mid Cap
241, Finolex cables, INE235A01022, FINCABLES, 10486, Mid Cap
242, Pfizer, INE182A01018, PFIZER, 10471, Mid Cap
243, Tv18 broadcast, INE886H01027, IBN18, 10351, Mid Cap
244, Dish tv, INE836F01026, DISHTV, 10293, Mid Cap
245, Union bank of, INE692A01016, UNIONBANK, 10221, Mid Cap
246, Bombay burmah trading corpn, INE050A01025, BBTC, 10180, Mid Cap
247, Minda industries, INE405E01023, MINDAIND, 10156, Mid Cap
248, Avanti feeds, INE871C01038, AVANTI, 10075, Mid Cap
249, Engineers, INE510A01028, ENGINERSIN, 10023, Mid Cap
250, Eih, INE230A01023, EIHOTEL, 9984, Mid Cap
251, Solar industries, INE343H01029, SOLARINDS, 9850, Small Cap
252, Kec international, INE389H01022, KEC, 9824, Small Cap
253, Alembic pharmaceuticals, INE901L01018, APLLTD, 9778, Small Cap
254, Sundaram clayton, INE105A01035, SUNCLAYLTD, 9761, Small Cap
255, Aarti industries, INE769A01020, AARTIIND, 9761, Small Cap
256, Thomas cook, INE332A01027, THOMASCOOK, 9750, Small Cap
257, Ge t&d, INE200A01026, GET&D, 9704, Small Cap
258, V guard industries, INE951I01027, VGUARD, 9694, Small Cap
259, Bata, INE176A01028, BATAINDIA, 9668, Small Cap
260, The phoenix mills, INE211B01039, PHOENIXLTD, 9608, Small Cap
261, Indiabulls real estate, INE069I01010, IBREALEST*, 9551, Small Cap
262, Blue dart express, INE233B01017, BLUEDART, 9480, Small Cap
263, Manappuram finance, INE522D01027, MANAPPURAM, 9446, Small Cap
264, Mahanagar gas, INE002S01010, MGL, 9338, Small Cap
265, Kajaria ceramics, INE217B01036, KAJARIACER, 9337, Small Cap
266, Skf, INE640A01023, SKFINDIA, 9231, Small Cap
267, Schaeffler, INE513A01014, SCHAEFFLER, 9000, Small Cap
268, Gujarat fluorochemicals, INE538A01037, GUJFLUORO, 8900, Small Cap
269, Mahindra cie automotive, INE536H01010, MAHFORG, 8894, Small Cap
270, Basf, INE373A01013, BASF, 8866, Small Cap
271, Aegis logistics, INE208C01025, AEGISLOG, 8839, Small Cap
272, Akzo nobel, INE133A01011, AKZOINDIA, 8818, Small Cap
273, Aster dm healthcare, INE914M01019, ASTERDM, 8715, Small Cap
274, Security intelligence services, INE285J01010, SIS, 8623, Small Cap
275, Infibeam incorporation, INE483S01020, INFIBEAM, 8548, Small Cap
276, Wockhardt, INE049B01025, WOCKPHARMA, 8527, Small Cap
277, Asahi glass, INE439A01020, ASAHIINDIA, 8514, Small Cap
278, Idfc, INE043D01016, IDFC, 8500, Small Cap
279, Irb infrastructure developers, INE821I01014, IRB, 8326, Small Cap
280, Ipca laboratories, INE571A01020, IPCALAB, 8287, Small Cap
281, Atul, INE100A01010, ATUL, 8148, Small Cap
282, Finolex industries, INE183A01016, FINOLEXIND, 7972, Small Cap
283, Relaxo footwears, INE131B01039, RELAXO, 7966, Small Cap
284, Lakshmi machine works, INE269B01029, LAXMIMACH, 7895, Small Cap
285, Future lifestyle fashions, INE452O01016, FLFL, 7812, Small Cap
286, Karur vysya bank, INE036D01028, KARURVYSYA, 7771, Small Cap
287, Ttk prestige, INE690A01010, TTKPRESTIG, 7718, Small Cap
288, Delta corp, INE124G01033, DELTACORP, 7704, Small Cap
289, Cyient, INE136B01020, CYIENT, 7665, Small Cap
290, Fortis healthcare, INE061F01013, FORTIS, 7610, Small Cap
291, Spicejet, INE285B01017, SPICEJET, 7597, Small Cap
292, Sheela foam, INE916U01025, SFL, 7498, Small Cap
293, Ocl, INE290B01025, OCL, 7442, Small Cap
294, Vardhman textiles limted, INE825A01012, VTL, 7397, Small Cap
295, Dr lal pathlabs, INE600L01024, LALPATHLAB, 7345, Small Cap
296, Blue star, INE472A01039, BLUESTARCO, 7184, Small Cap
297, Bharat dynamics, INE171Z01018, BDL, 7163, Small Cap
298, Ncc, INE868B01028, NAGARCON, 7145, Small Cap
299, Kalpataru power transmission, INE220B01022, KALPATPOWR, 7132, Small Cap
300, Vijaya bank, INE705A01016, VIJAYABANK, 7066, Small Cap
301, Jk cement, INE823G01014, JKCEMENT, 7027, Small Cap
302, Gujarat narmada valley fertco, INE113A01013, GNFC, 7022, Small Cap
303, Dcm shriram, INE499A01024, DCMSHRIRAM, 7014, Small Cap
304, Jet airways, INE802G01018, JETAIRWAYS, 6991, Small Cap
305, Jyothy laboratories, INE668F01031, JYOTHYLAB, 6983, Small Cap
306, Cochin shipyard, INE704P01017, COCHINSHIP, 6968, Small Cap
307, Century plyboards, INE348B01021, CENTURYPLY, 6953, Small Cap
308, Hindustan copper, INE531E01026, HINDCOPPER, 6912, Small Cap
309, Bajaj corp, INE933K01021, BAJAJCORP, 6904, Small Cap
310, Syndicate bank, INE667A01018, SYNDIBANK, 6887, Small Cap
311, Chambal fertilisers chemicals, INE085A01013, CHAMBLFERT, 6886, Small Cap
312, Tata elxsi, INE670A01012, TATAELXSI, 6884, Small Cap
313, Johnson controls hitachi air conditioning, INE782A01015, JCHAC, 6849, Small Cap
314, Carborundum universal, INE120A01034, CARBORUNIV, 6773, Small Cap
315, Indian overseas bank, INE565A01014, IOB, 6758, Small Cap
316, Birla corporation, INE340A01012, BIRLACORPN, 6627, Small Cap
317, Gujarat pipavav port, INE517F01014, GPPL, 6595, Small Cap
318, Coffee day enterprises, INE335K01011, COFFEEDAY, 6589, Small Cap
319, Sadbhav engineering, INE226H01026, SADBHAV, 6491, Small Cap
320, Capital first, INE688I01017, FCH, 6385, Small Cap
321, Pvr, INE191H01014, PVR, 6383, Small Cap
322, Ceat, INE482A01020, CEATLTD, 6340, Small Cap
323, Himadri speciality chemical, INE019C01026, HSCL, 6327, Small Cap
324, Welspun, INE192B01031, WELSPUNIND, 6293, Small Cap
325, Iti, INE248A01017, ITI, 6252, Small Cap
326, Persistent systems, INE262H01013, PERSISTENT, 6211, Small Cap
327, Raymond, INE301A01014, RAYMOND, 6182, Small Cap
328, Reliance communications, INE330H01018, RCOML, 6129, Small Cap
329, Suzlon energy, INE040H01021, SUZLON, 6124, Small Cap
330, Prism johnson, INE010A01011, PRSMJOHNSN, 5976, Small Cap
331, Sunteck realty, INE805D01034, SUNTECK, 5906, Small Cap
332, Can fin homes, INE477A01020, CANFINHOME, 5884, Small Cap
333, Mmtc, INE123F01029, MMTC, 5866, Small Cap
334, Redington, INE891D01026, REDINGTON, 5820, Small Cap
335, Ge power, INE878A01011, GEPIL, 5781, Small Cap
336, Jain irrigation systems, INE175A01038, JISLJALEQS, 5748, Small Cap
337, Bajaj electricals, INE193E01025, BAJAJELEC, 5728, Small Cap
338, Niit technologies, INE591G01017, NIITTECH, 5727, Small Cap
339, Grindwell norton, INE536A01023, GRINDWELL, 5710, Small Cap
340, Lemon tree hotels, INE970X01018, LEMONTREE, 5662, Small Cap
341, Dbcorp, INE950I01011, DBCORP, 5652, Small Cap
342, Narayana hrudayalaya, INE410P01011, NH, 5605, Small Cap
343, Moil, INE490G01020, MOIL, 5541, Small Cap
344, Westlife development, INE274F01020, WESTLIFE, 5534, Small Cap
345, Strides shasun, INE939A01011, STAR, 5529, Small Cap
346, Dcb bank, INE503A01015, DCBBANK, 5511, Small Cap
347, Great eastern shipping co, INE017A01032, GESHIP, 5473, Small Cap
348, Network 18 media investments, INE870H01013, NETWORK18, 5449, Small Cap
349, Laurus labs, INE947Q01010, LAURUSLABS, 5369, Small Cap
350, Star cement, INE460H01021, STARCEMENT, 5343, Small Cap
351, Vip industries, INE054A01027, VIPIND, 5321, Small Cap
352, Bombay dyeing mfg co, INE032A01023, BOMDYEING, 5313, Small Cap
353, Dishman carbogen amcis, INE385W01011, DCAL, 5312, Small Cap
354, Eclerx services, INE738I01010, ECLERX, 5306, Small Cap
355, Gujarat alkalis chemicals, INE186A01019, GUJALKALI, 5263, Small Cap
356, Ifb industries, INE559A01017, IFBIND, 5242, Small Cap
357, Timken, INE325A01013, TATATIMKEN, 5238, Small Cap
358, Jagran prakashan, INE199G01027, JAGRAN, 5158, Small Cap
359, Chennai petroleum corporation, INE178A01016, CHENNPETRO, 5143, Small Cap
360, Indostar capital finance, INE896L01010, INDOSTAR, 5140, Small Cap
361, Galaxy surfactants, INE600K01018, GALAXYSURF, 5134, Small Cap
362, Equitas holdings, INE988K01017, EQUITAS, 5134, Small Cap
363, Gujarat state fertilizers chem, INE026A01025, GSFC, 5111, Small Cap
364, Kpr mill, INE930H01023, KPRMILL, 5107, Small Cap
365, Eid parry, INE126A01031, EIDPARRY, 5084, Small Cap
366, Sobha, INE671H01015, SOBHA, 5082, Small Cap
367, Cg power industrial solutions, INE067A01029, CGPOWER, 4991, Small Cap
368, Radico khaitan, INE944F01028, RADICO, 4966, Small Cap
369, Isgec heavy engineering, INE858B01011, ISGEC, 4961, Small Cap
370, Kirloskar oil engines, INE146L01010, KIRLOSENG, 4956, Small Cap
371, Apl apollo tubes, INE702C01019, APLAPOLLO, 4854, Small Cap
372, Beml, INE258A01016, BEML, 4787, Small Cap
373, South n bank, INE683A01023, SOUTHBANK, 4785, Small Cap
374, Indian energy exchange, INE022Q01012, IEX, 4778, Small Cap
375, Vst industries, INE710A01016, VSTIND, 4774, Small Cap
376, Shoppers stop, INE498B01024, SHOPERSTOP, 4767, Small Cap
377, Jk lakshmi cement, INE786A01032, JKLAKSHMI, 4753, Small Cap
378, Zydus wellness, INE768C01010, ZYDUSWELL, 4737, Small Cap
379, Vinati organics, INE410B01029, VINATIORGA, 4704, Small Cap
380, Zensar technologies, INE520A01019, ZENSARTECH, 4701, Small Cap
381, Polaris consulting services, INE763A01023, POLARIS, 4697, Small Cap
382, Sadbhav infrastructure project, INE764L01010, SADBHIN, 4663, Small Cap
383, Tube investments of, INE974X01010, TIINDIA, 4643, Small Cap
384, Venkys, INE398A01010, VENKYS, 4628, Small Cap
385, Kpit technologies, INE836A01035, KPIT, 4621, Small Cap
386, Ujjivan financial services, INE334L01012, UJJIVAN, 4611, Small Cap
387, Monsanto, INE274B01011, MONSANTO, 4596, Small Cap
388, Ratnamani metals tubes, INE703B01027, RATNAMANI, 4572, Small Cap
389, Gulf oil lubricants, INE635Q01029, GULFOILLUB, 4571, Small Cap
390, Ashoka buildcon, INE442H01029, ASHOKA, 4567, Small Cap
391, India cements, INE383A01012, INDIACEM, 4562, Small Cap
392, Elgi equipments, INE285A01027, ELGIEQUIP, 4556, Small Cap
393, Adani green energy, INE364U01010, ADANIGREEN, 4543, Small Cap
394, Forbes company, INE518A01013, FORBESCO, 4540, Small Cap
395, Sital leasing finance, INE341O01029, , 4524, Small Cap
396, Tata investment corporation, INE672A01018, TATAINVEST, 4512, Small Cap
397, Jaiprakash associates, INE455F01025, JPASSOCIAT, 4506, Small Cap
398, Bse, INE118H01025, BSE, 4493, Small Cap
399, Swan energy, INE665A01038, SWANENERGY, 4485, Small Cap
400, Rashtriya chemicals fertilizers, INE027A01015, RCF, 4485, Small Cap
401, Fdc, INE258B01022, FDC, 4481, Small Cap
402, Lux industries, INE150G01020, LUXIND, 4478, Small Cap
403, Godfrey phillips, INE260B01028, GODFRYPHLP, 4457, Small Cap
404, Rallis, INE613A01020, RALLIS, 4432, Small Cap
405, Pnc infratech, INE195J01029, PNCINFRA, 4424, Small Cap
