comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, t500, sc_score, sc_value, sc_cmp, sc_iv, sc_graham
Ntpc,INE733E01010,10,7,3,30,06-Dec-2017,214,Buy,yes,21,9,152,1540,191
Asian paints,INE021A01026,10,8,2,20,06-Dec-2017,214,Buy,yes,22,1,1321,1655,208
Apollo hospitals enterprise,INE437A01024,10,7,3,30,06-Dec-2017,214,Buy,yes,18,1,1048,4791,321
Oil natural gas corporation,INE213A01029,5,3,2,40,06-Dec-2017,214,Buy,yes,23,10,206,-495,385
Jsw steel,INE019A01038,5,2,3,60,06-Dec-2017,214,Buy,yes,17,6,310,183,260
Bata,INE176A01028,5,3,2,40,06-Dec-2017,214,Buy,yes,21,1,835,2461,212
India tourism development corporation,INE353K01014,2,0,2,100,27-Dec-2017,193,Sell,yes,0,0,0,0,0
Mahindra mahindra,INE101A01026,5,4,1,20,28-Dec-2017,192,Buy,yes,0,0,0,0,0
Siemens,INE003A01024,5,3,2,40,02-Jan-2018,187,Buy,yes,21,1,972,1970,415
Pvr,INE191H01014,5,3,2,40,02-Jan-2018,187,Buy,yes,15,0,1377,656,374
Eih,INE230A01023,3,2,1,33,02-Jan-2018,187,Buy,yes,21,2,163,-13024,45
Dabur,INE016A01026,5,2,3,60,02-Jan-2018,187,Buy,yes,22,1,377,476,75
Cipla,INE059A01026,5,1,4,80,02-Jan-2018,187,Buy,yes,20,1,627,-1920,262
Kansai nerolac paints,INE531A01024,5,2,3,60,02-Jan-2018,187,Buy,yes,19,0,473,399,112
Aurobindo pharma,INE406A01037,5,2,3,60,02-Jan-2018,187,Buy,yes,17,5,616,151,433
Ambuja cements,INE079A01024,3,2,1,33,02-Jan-2018,187,Buy,yes,20,5,207,-4311,158
Vip industries,INE054A01027,5,2,3,60,02-Jan-2018,187,Buy,yes,21,1,413,1538,87
Hindustan zinc,INE267A01025,5,2,3,60,02-Jan-2018,187,Buy,yes,22,6,274,746,216
Marico,INE196A01026,5,2,3,60,02-Jan-2018,187,Buy,yes,22,0,346,290,59
Bharat petroleum corporation,INE029A01011,4,2,2,50,02-Jan-2018,187,Buy,yes,18,9,372,139,377
Narayana hrudayalaya,INE410P01011,3,2,1,33,02-Jan-2018,187,Buy,yes,10,0,236,144,53
Abb,INE117A01022,5,3,2,40,02-Jan-2018,187,Buy,yes,19,0,1182,742,284
Varun beverages,INE200M01013,5,2,3,60,02-Jan-2018,187,Buy,yes,17,1,753,227,166
Mahindra holidays resorts,INE998I01010,5,2,3,60,02-Jan-2018,187,Buy,yes,23,1,312,1087,117
Relaxo footwears,INE131B01039,5,2,3,60,02-Jan-2018,187,Buy,yes,16,0,704,449,138
Nmdc,INE584A01023,5,2,3,60,01-Feb-2018,157,Buy,yes,23,10,103,-90,150
Petronet lng,INE347G01014,4,2,2,50,01-Feb-2018,157,Buy,yes,19,4,219,374,145
Dish tv,INE836F01026,5,2,3,60,01-Feb-2018,157,Buy,yes,6,1,72,0,0
Tech mahindra,INE669C01036,5,3,2,40,01-Feb-2018,157,Buy,yes,22,4,647,529,423
Eid parry,INE126A01031,3,2,1,33,01-Feb-2018,157,Buy,yes,17,10,217,345,348
Century plyboards,INE348B01021,3,2,1,33,01-Feb-2018,157,Buy,yes,19,0,244,183,79
Berger paints,INE463A01038,3,2,1,33,01-Feb-2018,157,Buy,yes,22,0,290,247,51
Quess corp,INE615P01015,3,1,2,67,01-Feb-2018,157,Buy,yes,11,1,1106,225,197
Allcargo logistics,INE418H01029,2,1,1,50,02-Feb-2018,156,Buy,yes,18,6,117,-461,112
Future consumer,INE220J01025,2,1,1,50,02-Feb-2018,156,Buy,yes,5,5,49,0,0
Pi industries,INE603J01030,3,1,2,67,02-Feb-2018,156,Buy,yes,0,0,0,0,0
Aegis logistics,INE208C01025,2,1,1,50,02-Feb-2018,156,Buy,yes,19,1,214,78,58
Kaveri seed company,INE455I01029,3,1,2,67,02-Feb-2018,156,Buy,yes,16,5,552,571,366
Indian oil corporation,INE242A01010,5,2,3,60,23-Mar-2018,107,Buy,yes,0,0,0,0,0
Hindustan unilever,INE030A01027,10,2,8,80,04-Apr-2018,95,Buy,yes,0,0,0,0,0
Shipping corporation of,INE109A01011,3,2,1,33,04-Apr-2018,95,Buy,yes,10,10,60,0,137
Titan company,INE280A01028,5,4,1,20,04-Apr-2018,95,Buy,yes,21,1,838,2412,130
Dr reddys laboratories,INE089A01023,5,4,1,20,04-Apr-2018,95,Buy,yes,0,0,0,0,0
Nbcc,INE095N01031,5,2,3,60,04-Apr-2018,95,Buy,yes,19,1,69,80,22
Larsen toubro,INE018A01030,10,7,3,30,04-Apr-2018,95,Buy,yes,20,3,1254,4079,731
Bharat heavy electricals,INE257A01026,5,3,2,40,04-Apr-2018,95,Buy,yes,19,4,68,-26,67
Gail,INE129A01019,4,2,2,50,10-Apr-2018,89,Buy,yes,21,5,346,23156,296
Manappuram finance,INE522D01027,2,1,1,50,18-Apr-2018,81,Buy,yes,19,7,99,15,93
V guard industries,INE951I01027,2,1,1,50,19-Apr-2018,80,Buy,yes,18,0,189,125,36
Uflex,INE516A01017,2,1,1,50,28-May-2018,41,Buy,yes,14,11,255,662,727
Mahindra cie automotive,INE536H01010,2,1,1,50,28-May-2018,41,Buy,yes,11,2,261,0,145
L&t finance holdings,INE498L01015,2,1,1,50,28-May-2018,41,Buy,yes,0,0,0,0,0
L&t technology services,INE010V01017,2,1,1,50,28-May-2018,41,Buy,yes,21,2,1222,0,465
Essel propack,INE255A01020,2,1,1,50,26-Jun-2018,12,Buy,yes,21,4,109,97,70
Shree renuka sugars,INE087H01022,2,1,1,50,28-Jun-2018,10,Buy,yes,0,0,0,0,0
Greenply industries,INE461C01038,2,1,1,50,28-Jun-2018,10,Buy,yes,15,4,222,177,137
Godfrey phillips,INE260B01028,2,1,1,50,29-Jun-2018,9,Buy,yes,21,4,719,-1580,484
Emami,INE548C01032,5,2,3,60,29-Jun-2018,9,Buy,yes,22,1,521,981,83
Cadila healthcare,INE010B01027,3,2,1,33,03-Jul-2018,5,Buy,yes,21,2,387,344,183
Godrej consumer products,INE102D01028,5,2,3,60,03-Jul-2018,5,Buy,yes,18,1,606,2774,219
Info edge,INE663F01024,5,3,2,40,03-Jul-2018,5,Buy,yes,14,5,1230,0,0
Engineers,INE510A01028,5,2,3,60,03-Jul-2018,5,Buy,yes,23,5,123,-166,82
Arvind,INE034A01011,3,2,1,33,03-Jul-2018,5,Buy,yes,17,2,389,445,203
Icici lombard general insurance company,INE765G01017,5,3,2,40,03-Jul-2018,5,Buy,yes,16,1,703,0,208
Prestige estates projects,INE811K01011,5,2,3,60,03-Jul-2018,5,Buy,yes,18,3,275,163,176
Glenmark pharmaceuticals,INE935A01035,3,2,1,33,03-Jul-2018,5,Buy,yes,14,4,583,462,347
Adani ports special economic zone,INE742F01042,5,2,3,60,03-Jul-2018,5,Buy,yes,17,3,362,198,202
Hcl technologies,INE860A01027,5,2,3,60,03-Jul-2018,5,Buy,yes,23,5,931,518,649
Tvs motor company,INE494B01023,5,3,2,40,03-Jul-2018,5,Buy,yes,19,1,571,616,142
Container corporation of,INE111A01017,3,0,3,100,,0,,yes,0,0,0,0,0
-,,2,0,2,100,,0,,-,0,0,0,0,0
-,,2,0,2,100,,0,,-,0,0,0,0,0
-,,2,0,2,100,,0,,-,0,0,0,0,0
-,,2,0,2,100,,0,,-,0,0,0,0,0
Tata motors dvr,IN9155A01020,5,0,5,100,,0,,yes,11,9,262,-356,368
Yes bank,INE528G01027,2,0,2,100,,0,,yes,0,0,0,0,0
-,,5,0,5,100,,0,,-,0,0,0,0,0
Bharat forge,INE465A01025,2,0,2,100,,0,,yes,0,0,0,0,0
-,,2,0,2,100,,0,,-,0,0,0,0,0
-,,2,0,2,100,,0,,-,0,0,0,0,0
-,,5,0,5,100,,0,,-,0,0,0,0,0
-,,2,0,2,100,,0,,-,0,0,0,0,0
-,,2,0,2,100,,0,,-,0,0,0,0,0
United spirits,INE854D01016,10,0,10,100,,0,,yes,10,1,629,-4093,77
Indusind bank,INE095A01012,2,0,2,100,,0,,yes,0,0,0,0,0
-,,5,0,5,100,,0,,-,0,0,0,0,0
-,,2,0,2,100,,0,,-,0,0,0,0,0
Aditya birla capital,INE674K01013,2,0,2,100,,0,,yes,0,0,0,0,0
-,,2,0,2,100,,0,,-,0,0,0,0,0
Tata investment corporation,INE672A01018,2,0,2,100,,0,,yes,0,0,0,0,0
Avanti feeds,INE871C01020,2,0,2,100,,0,,yes,21,4,494,159,250
-,,2,0,2,100,,0,,-,0,0,0,0,0
-,,2,0,2,100,,0,,-,0,0,0,0,0
-,,2,0,2,100,,0,,-,0,0,0,0,0
-,,2,0,2,100,,0,,-,0,0,0,0,0
-,,2,0,2,100,,0,,-,0,0,0,0,0
-,,5,0,5,100,,0,,-,0,0,0,0,0
