industry_name,company_name,comp_weight,company_desc
Auto - 2 & 3 Wheelers,Tube Investments of India Limited,1,"Tube Investments of India Limited (Part of Muruguppa group - eid parry (sugar), coromandel fertilizers, cholamandalam investment & finance - NBFC, chola ms general insurance jv with MS sumitomo of Japan (worlds 5th largest in insurance) etc, Second largest cycle manufacturer in India : BSA/Hercules after unlisted Hero Cycles). Covered in auto : 2 & 3 wheeler. Demerger ... TI Financial holdings (TI FH) for financial stuff like MS Chola etc ... and TI India limited (TI IL) - manufacturing of bycycle, auto parts etc Covered in auto : 2 & 3 wheeler. Present in MISC Category."
Auto - Cars & Jeeps,Maruti Suzuki,5,"Maruti Suzuki (Global Auto giant, Share price : 5K)"
Auto - Cars & Jeeps,Mahindra & Mahindra,1,"Mahindra & Mahindra (Diversified Auto Giant, Car, Tractor etc)"
Auto - LCVs & HCVs,none,0,"Light < 8 ton, Medium (8 to 14 ton),  Heavy > 15 ton"
Auto - LCVs & HCVs,Tata Motors,1,Tata Motors (World leader in automobile)
Auto - LCVs & HCVs,Eicher Motors,1,"Eicher Motors (Royal Enfield Bikes, Joint collaboration with Volvo for trucks and buses, Sold tractor business to TAFE - Messey Ferguson assembler in India. TAFE is owned by Amalgmation group. Privately held.) High Share Price: 30K"
Auto - LCVs & HCVs,Ashok Leyland,1,Ashok Leyland (Hinduja Group Company): 2nd largest Commercial Vehicle manufacturer in India. Largest bus manufacturer in the world. Presence in the defense also.
Auto - LCVs & HCVs,SML ISUZU,0,"SML ISUZU (Swaraj Mazda Limited & ISUZU Japan : Earlier  Sumitomo Corporation, Punjab Tractors, ISUZU and MAZDA of Japan collaboration etc... Sold Swaraj (Punjab Tractors) to Mahindra. Now it is known as SML ISUZU)."
Auto - Tractors,VSTTILLERS,1,"VST Tillers & Tractors (Collaboration with Mitsubishi) : India's largest (45% market share) in power tillers. Capcacity : 60,000 tillers per annum. 55 % revenue from tillers. 30% from sale of tractors. Factory operating @ 30% utilization. It has idle capacity. Used Ticker to avoid confusion. Technology transfer tie-up (one time cost) and 6 years royalty to Kukje machinary (Branson brand), South Korea for 47 HP tractor."
Auto Ancillaries,Bosch,1,Bosch (German Giant. World's largest supplier of automative parts.) : High Share price 23K 
Auto Ancillaries,Motherson Sumi,1,"Motherson Sumi (Flagship company of Samvardhan group. JV with Sumitomo Wiring of Japan, very big auto component company) : 4 major products: wiring harnesses, rear view mirrors, polymers and elastomers. Internal and external auto components. wiring and mirrors. rear view mirror. largest manufacturer and supplier of rear view mirrors."
Auto Ancillaries,Exide Industries,1,Exide Industries (UK Based Chloride Eastern Ltd : 45% share) : India moves on Exide. The gap between net sales of Exide and Amaron is negligible. Competitors : Amaron (Amara Raja Batteries & Johnson Controls) and Tata Green (Tata Autocomp tie up with GS Yuasa of Japan).
Auto Ancillaries,Amara Raja Batteries,1,"Amara Raja Batteries ( automative battery brand : AMARON ) : Lasts long, Really long. 25% Ownership by Johnson controls, USA (world leader in batteries) . Owned by Jaya Galla (TDP MP)"
Auto Ancillaries,WABCO,1,Wabco India. WABCO India (Westinghouse Air Brake Company. US auto anciliiary giant : vehicle controls systems like braking etc. Power Brakes etc)
Auto Ancillaries,Gabriel India,0,"Gabriel India - Shock absrober, closest competitor is Munjal Showa (Japanese major in shock absrober)"
Auto Ancillaries,Shriram Pistons & Rings,0,Shriram Pistons & Rings
Auto Ancillaries,Federal Mogul Goetze,0,"Federal Mogul (auto parts, powertrain, piston etc)"
Auto Ancillaries,Sundaram Clayton,0,"Sundaram Clayton (Casting for auto industry, parent of TVS group)."
Auto Ancillaries,Endurance ,1,"Endurance Technologies. aluminium casting, alloy wheel, brake, shock absorber, clutch"
Auto Ancillaries,Varroc,0,Vehicle lighting
Auto Ancillaries,Minda Industries,0,"UnoMinda, Security system"
Banks - Private Sector,none,0,Net Interest Income should be compared with profit.
Banks - Private Sector,HDFC Bank,5,
Banks - Private Sector,ICICI,1,
Banks - Private Sector,Axis Bank,1,
Banks - Private Sector,Kotak Mahindra Bank,1,Kotak Mahindra Bank : mcap to net interest income ratio is too high compared to peers but growth rate is good. PEG looks ok. The dividend paid is very less compared to peers.
Banks - Private Sector,Bandhan Bank,1,Bandhan Bank - very cost oriented and focus on micro finance.
Banks - Private Sector,IndusInd Bank,1,IndusInd Bank : Started by Hinduja family.
Banks - Private Sector,YES Bank,0,YES Bank (TBB)
Banks - Public Sector,none,0,"Key factors : Deposits, Advances, Net Interest Margin, PAT, NPA (% of revenue and % of profit)"
Banks - Public Sector,SBI,1,SBI -  Largest PSB
Banks - Public Sector,Bank of Baroda,1,"Bank of Baroda, Vijaya Bank and Dena bank will be merged together to form 3rd biggest bank of India."
Bearings,SKF India,1,"SKF India (Svenska Kullager Fabriken, Worlds largest bearing manufacturer in World, Sweedish firm. Sweedish Ball Bearing. Fortune Global 2000. One of the largest company in sweden.)"
Bearings,SCHAEFFLER India,1,SCHAEFFLER India (German auto giant) : Worlds 2nd largest bearing manufacture. Just after SKF.
Breweries & Distilleries,United Spirits,1,"United Spirits : (Owner Diageo is world leader in spirits). 14 Brands : Scotch (Johnie Walker - worlds largest selling), Whiskey (McDowell No. 1 - Worlds largest selling), Rum (Celebration Run - Worlds largest selling), Vodka (Smirnoff - worlds largest selling) . Other Brands : VAT 69, Black & White, Black Dog Scotch, McDowell Signature (whiskey), Royal challenge (whiskey), Director's special (whiskey), Bagpiper (whiskey), White mischief (vodka), romanv (vodka)"
Breweries & Distilleries,United Breweries,1,"United Breweries (Owner Heinken : 2nd largest beer marker after Anheuser-Busch InBev) : Brands : Kingfisher, Kalyani Black label, flying horse,  Raj Cobra, Taj mahal, Bullet, Charger, Zingaro"
Breweries & Distilleries,Radico Khaitan,0,Radico Khaitan (India's oldest and largest liquour manufacturer. Domestic player : 8 PM brands)
Breweries & Distilleries,IFB Agro,0,IFB Agro also does IMIL(Indian Made Indian Liquor). Tilaknagar Industries has a IMFL portfolio.
Cables - Power & Others,none,0,
Cables - Telephone,none,0,
Castings & Forgings,Bharat Forge,0,Bharat Forge - Forging company of Baba Kalyani group. Overall Baba Kalyani group structure looks confusing. Investor Presentation looks Good. Why did revenue go down drastically in between?. The revenue in 10 years has just doubled. Seems to be very slow.
Castings & Forgings,Mahindra CIE,1,Mahindra CIE Automotive (JV) ... Similar to Tata Autocomp etc (concern : no dividend for last 3 year)
Castings & Forgings,AIA,0,AIA ? (Vega Industries)
Cement - Major,none,0,Top 3 players (Ambuja and ACC are owned by same owner : Lafarge Holchim). 
Cement - Major,UltraTech ,5,UltraTech (Aditya Birla group) : Capacity : 70 million tons per year. It is among Worlds' top 15 cement companies.
Cement - Major,ACC,1,ACC is one of the first few producer of cements in India ... ACC had a trouble when it focused on non-core items. TATA also had a stake in it. TATA sold the stake to Ambuja cements. ACC and Ambuja have similar capacity. ACC is owned 50% by Ambuja. Lafarge Holchim owns Ambuja.
Cement - Major,Ambuja,1,"Ambuja is owned by LafargeHolchim (An International biggie : Lafarge(French) and Holchim(Swiss) in cement, construction and concrete sector)  Annual Capacity : 370 million tons per year. "
Cement - Major,Shree Cement,1,"Shree Cement (Brands: Shree Cements, Bangur Cement, RockStrong etc) Bangur business family from Rajasthan settled in Calcutta. High Share Price : 18K"
Cement - Major,Dalmia Bharat Cement,0,Dalmia Bharat Cement after merger with OCL (orissa cement limited) became 4th largest Indian cement manufacturer. Capacity : 35 mt per annum. There is lot of confusion on the name of company itself. What will it be known as ?
Cement - Major,Heidelberg cement,1,"Heidelberg Italicement group after merger of : Heidelberg (Germany) & Italicement(Italy) is 2nd biggest cement company after merger of LafargeHolcim (Lafarge:French, Holchim:Swiss). It has acquired ItaliCementi (Zuari cement is owned by Italicementi in India) also. Access mycem.com. It is still a small player in India.  Put only in top 3 companies for no differntiation."
Cement - Mini,none,0,
Cement - Products & Building Materials,none,0,
Ceramics & Granite,none,0,Jaquar is not listed. Parryware (ROCA) is another name that can be recalled.
Ceramics & Granite,Kajaria Ceramics,1,Kajaria Ceramics (Tiles)
Ceramics & Granite,Cera,1,Cera (Sanitaryware) : Share Price 3K (Cera is a short form of Ceramics).
Ceramics & Granite,HSIL,1,"Hindware (Hindustan Sanitaryware: HSIL). The founder is also a somany. What is the connection to Somany? Good recall value. HSIL earns 50% of its revenues from packaging products like glass, pet, plastic closures etc."
Ceramics & Granite,Somany Ceramics,1,Somany Ceramics (founder of HSIL and Somany ceramics is same : Hira Somany)
Ceramics & Granite,Asian Granito,1,AGL (Asian Granito Limited) : Among top 3 player
Chemicals,none,0,
Chemicals,Tata Chemicals,1,"Tata Chemicals (Tata Salt, Tata Sampan Pulses & Spices, Tata Swach Water Purifier, Fertilizers etc,) : Focus on Living Essentials Products, It has Rallis (pesticides and agrochemicals) in its fold."
Chemicals,UPL,1,UPL (MNC. Crop protection. Present in 124 countries)
Chemicals,BASF,1,"BASF (Global German Giant, largest producer of chemical. DuPont and Dow Chemicals are the other two competitors who merged together to form DowDuPont. )"
Chemicals,Pidilite,1,"PIDILITE (Fevicol, Fevistick, FeviQuick and Dr FixIt)"
Cigarettes,none,0,
Cigarettes,ITC,5,"ITC (ITC cigaratees, matchbox, mouth freshner - mint-o and candyman, ITC Hotels, ITC Infotech, FMCG : Classmate - Stationary, Aashirwad, Sunfeast, Bingo, Yipee: 1K Cr brands).  ITC lifestyle (WLS - Wills lifestyle store for cloths, Sold John Players to Reliance). ITC's major cigarette brands include Wills Navy Cut, Gold Flake Kings, Gold Flake Premium lights, Gold Flake Super Star, Insignia, India Kings, Classic (Verve, Menthol, Menthol Rush, Regular, Citric Twist, Ice Burst, Mild & Ultra Mild), 555, Silk Cut, Scissors, Capstan, Berkeley, Bristol, Lucky Strike, Players, Flake and Duke & Royal."
Cigarettes,VST Industries,1,"VST Industries is largest leaf tobbaco(Bidi) maker in India. Partly owned by BAT (British American Tobbaco) group of UK Founder : Vazir Sultan. Brands : Charms, Charminar, Gold, Moments, Zaffran."
Cigarettes,Godfrey Phillips,1,"Godfrey Phillips, is a modi group company. One of the largest cigarette manufacturers. Part ownership of Morris International (Marlboro owner). Brands : Four Square, Red&White etc.   Pan Vilas Pan Masala(chewing product). Tea also."
Compressors,Ingersoll Rand (India),0,Not clear on usage of compressors and the industry.
Computer Software Training,none,0,"Educational, Pre-School, School"
Computer Software Training,ZEE LEARN,1,"ZEE LEARN (Kidzee, Mount Literra schools franchise)"
Education,NIIT,0,NIIT - Training
Education,Educomp,0,Educomp  - Under heavy debt.
Education,Tree house / Career Point,0,TreeHouse ? / Career Point ?
Computers - Hardware,none,0,
Computers - Software,Tata Consultancy,5,TCS (Tata consultancy services)
Computers - Software,Infosys,5,Infosys
Computers - Software,Wipro ,1,"Wipro (The listed company is Wipro Limited is a pure software, IT and BPO company. It doesn't include privately held Wipro Enterprise Privated Limited that has a subsidiary like Wipro consumer care and lighting - FMCG etc and wipro infrastructure engineering - several other sectors and business etc. Wipro Enterprise Pvt Ltd has JV with GE medical systems.)"
Computers - Software,Tech Mahindra,1,Tech Mahindra (Satyam was merged into this)
Computers - Software,HCL Tech,1,HCL Tech
Computers - Software,Info Edge,1,"Info Edge (listed in misc, 99acres.com, jeevansaathi.com, zomato.com, policybazaar.com etc)"
Computers - Software,Larsen & Toubro Infotech,1,L&T Infotech (LTI) : IT Services
Computers - Software - Training,none,0,
Computers - Software Medium & Small,L&T Technology Services,1,L&T Technology Services (LTTS is different from L&T IT ... LTTS is engineering services - embedded domain where as LTI is software services.
Computers - Software Medium & Small,Tata Elxsi,1,"Tata Elxsi : Design : Engineering Services company : set top box, autonomous cars, packaging design, fan design, medical devices etc"
Construction & Contracting - Civil,none,0,Too much competition. Poor margins of 8%
Construction & Contracting - Civil,NAGARCON,0,NCC (Nagarjuna Construction Company). Used Ticker name to avoid confusion with other NCC companies.
Construction & Contracting - Civil,Gammon,0,Gammon has long history in this space similar to L&T but doesn't seems to be in profit off late (from year 2012 to year 2017). Checked Screener.
Construction & Contracting - Civil,HCC,0,"HCC (Hindustan construction company) : no dividend for last 5 years. Also, in losses for last 5 years."
Construction & Contracting - Housing,Asiana Housing,0,
Construction & Contracting - Real Estate,none,0,Set - 1. Included Builders involved in Bangalore. Will be easy to track the visibility as well. Good margins today.-
Construction & Contracting - Real Estate,DLF,1,DLF
Construction & Contracting - Real Estate,Prestige,1,Prestige
Construction & Contracting - Real Estate,HUDCO,1,HUDCO (Govt sponsored Housing Finance company. Should be with LIC housing finance.)
Construction & Contracting - Real Estate,Brigade,1,Brigade
Construction & Contracting - Real Estate,Sobha,1,Sobha
Construction & Contracting - Real Estate,Godrej Properties,1,"Godrej Properties. (Godrej Properties, Godrej Consumer Products and Godrej AgroVat, Natures Basket is a subsidiary of Godrej Industries a holding company. All the other companies of Godrej like locks, fridge, Interio etc are owned by unlisted company Godrej & Boyce.)"
Construction & Contracting - Real Estate,Puravankara,1,Puravankara Limited (earlier Puravankara Projects).
Construction & Contracting - Real Estate,Lodha Developers,0,Founded by Marwari Businessman in Mumbai. Mangal Prabhat Lodha. IPO expected soon. Mangal Prabhat Lodha (BJP MLA)
Consumer Goods - Electronic,Voltas,1,Voltas (TATA product for AC)
Consumer Goods - White Goods,none,0,"Includes other players also like Havells. (a) consumption : 15 K (each device : AC, washing machine, refrigerator and TV)  (b) Life of 15 years  (c) 1 K each year for each device : 4 K for 4 devices (washing machine, refrigerator and TV) ...  Domestic players - voltas, havells, lloyd, kenstar, videocon, bluestar, IFB, Godrej etc ... US players - whirlpool, korean player - LG, Samsung, Japanese player - Hitachi, Daikin, Panasonic, Fujitsu General, Sharp, Chinese player - Haier, UAE player - "
Consumer Goods - White Goods,Whirlpool,1,Whirlpool (US Fortune 500 Home Appliance Company)
Consumer Goods - White Goods,Johnson Controls Hitachi,1,"Johnson Control (US MNC) in JV with Hitachi (Japan) : Heating, Ventillation and Air-Conditioning (HVAC) : Products : AC : Residential and Commercial, Chillers, Compressors"
Consumer Goods - White Goods,Blue Star,1,Blue Star (leader in commercial ac in India)
Consumer Goods - White Goods,IFB Industries,1,IFB Industries (leader in washing machines)
Couriers,none,,"(a) logistics delivery and couriers (every week) : 1 : 100 Rs each, month value : 400 Rs, annual value : 5K"
Couriers,Blue Dart Express,1,"BlueDart Express (DHL company, German Logistics company) : Share Price : 4K "
Couriers,DTDC,0,DTDC (DPD-Dynamic Parcel Distribution. 42% is held by Europe's second largest logistics firm GeoPost. They bought from Reliance Capital.) Not yet listed on the stock market. Waiting for IPO.
Detergents,none,0,
Diamond Cutting & Jewellery & Precious Metals,Titan Company,5,"Titan Company (Lifestyle: Jewellery, Bag, Wallet, Belt, Helmets, SKINN perfume, ZOOP for kids watches, RAAGA watches for ladies etc) : Tanishq, Titan Eyeplus, Titan Store etc Other Brands : FASTRACK and SKINN. They have ventured into Sarees using Taneira stores (sarees from 22 states. very thoughtful collection). Listed in MISC category."
Diamond Cutting & Jewellery & Precious Metals,Rajesh Exports,1,"Rajesh Exports (Gold Value Chain : Refining & Retailing, Owner of World's largest gold refining, Valcambi, REL produces more than 35% of the world's gold, Retail shops under Shubh )"
Diamond Cutting & Jewellery & Precious Metals,PC Jeweller,1,"PC Jeweller, P C Jeweller (good CAGR, aggressive, big player, focussed)"
Diversified,3M India,1,"3M (Global MNC, Science Applied to Life : 4000 products: Scotch Glue Stick, Scotch Tape, Scotch Brite : Kitchen items, Water Softener, Water Filteration system, Medical Supplies, Share price : 15K). Doesn't pay dividend (rumor). check AR. High Share Price : 15 K"
Diversified,Grasim,1,"Grasim (Aditya Birla Group holding company - partial). Manages Textile and Chemical. Two popular subsidiaries : UltraTech, Idea"
Diversified,Godrej Industries,1,"Godrej Industries (holding company) - subsidiaries are godrej consumer products, godrej properties, godrej agrovet."
Diversified,DCM Shriram,1,"DCM Shriram Ltd (agri- urea, bioseed, fertilizer, cement, sugar, Alcohol, glass windows etc). Legacy : Delhi Cloth & General Mills. DCM Limited - Splited into DCM Shriram Industries, DCM Shriram Ltd (earlier DCM Shriram Consolidated Ltd). The name is too confusing.  dcmshriram.com (DCM Shriram Ltd) and dcmsr.com (DCM Shriram Industries). Avoid confusion."
Diversified,Tata Investment Corp,1,Tata Investment Corp (holding company of tata companies similar to Tata Sons). Mostly dividend income. They should share dividend income with owners or invest in new businesses. OPM should be very high as not much expense. 
Diversified,Bajaj Holdings & Investments,1,Bajaj Holdings & Investments (bajaj auto and bajaj finserv - parent)
Diversified,M&M ,0,M&M is a holding company for Mahindra for so many subsidiary companies. (listed in auto)
Diversified,Pilani Investment & Industries,0,"Pilani Investment & Industries (Investment vehicle, holding in many Birla companies). Even Grasim have some cross holding. "
Domestic Appliances,TTK Prestige,1,TTK Prestige (Share Price : 6500)
Domestic Appliances,Bajaj Electric,0,Bajaj Electric (includes JV with Morphy Richards also for marketing and service). Bajaj electric profit margin was less
Domestic Appliances,Hawkins Cooker,0,Hawkins Cooker ? (small and focussed player only on pressure cookers)
Dry Cells,Eveready ,1,"Eveready (Khaitan Group, World's third largest producer of carbon-zinc batteries). Diversifying to be an appliance company."
Dry Cells,Indo National,0,Indo National (NIPPO Batteries)
Dry Cells,Panasonic Energy India,0,Panasonic Energy India
Dyes & Pigments,none,0,
Edible Oils & Solvent Extraction,none,0,
Electric Equipment,Havells,1,"Havells (Acquired consumer durables : Lloyd group. Has become a diversified player in electric equipments. Lloyd is number 3 player in AC segment. Havells brands are Standard, Havells, CrabTree, PrompTec and Llloyd. Havells had successful integration of companies (CrabTree, T-Series' fans, Promptec) in the past."
Electric Equipment,V-Guard,1,V-Guard (V Guard Industries. Voltage Stabilizer company : India's number 1 company in stabilizer : 35% market share.. Number 3 in UPS)
Electricals,Bharat Electronics,1,"Bharat Electronics (Defense major. Radar, Missile, Arms equipments, Weapon system, Fire control system, Communication system, EVM etc also) - CPSE Navaratna company"
Electricals,Crompton Greaves,1,Crompton Greaves Consumer (#1 in Fan category) : Splited from CG Global (Industrial) : Doesn't pay dividend.
Electrodes & Graphite,Graphite India,0,
Engineering,Quess Corp,1,Quess Corp (Business process company interest in Unskilled and skilled Human Resouce. Acquired several facility management companies like Avon and  Hr companies like Magna etc. Also acquired monster in Asia Pacific and HCL Care - service touch points). Prem Watsa Group and Fairfax holding company. The company is also owned by Thomas Cook group. Both the companies are owned by Fairfax holdings (Prem Watsa). It should be in Hospitality.
Engineering - Heavy,ISGEC,0,what doe it do? try to understand.
Engines,Cummins,1,"Cummins (Fortune 500 MNC) : Engines, Generators and Components. You can see large industrial diesel generators in green color box with cummins written over it. Everywhere right from airport to malls. Has tie up with Tata .. Tata cummins. Has tie up with Valvoline for engine / turbine oil."
Fasteners,none,0,Too much narrow domain. sure?
Fasteners,Sundaram Fasteners,0,Sundaram Fasteners (TV Sundaram Group : TVS motors) : auto components manufacturer
Fertilisers,none,0,"Crop nutrients - fertilizers, and crop protection - (chemicals, insectisides and pesticides) and seeds provider are all considered in same category. Check companies in other categories also. Requirement in Tons - Single State - Telangana : 13 lac Ton - Urea, 13 Lac Ton - DAP, NPK & other neutrients, 1.75 Lac ton - Potash"
Fertilisers,Coromandel International,1,"Coromandel International (in fertilizers, pesticides and nutrients .... organic fertilizers too ..part of Muruguppa group of Eid Parry, Cholamandalam etc) Was formed with chevron of USA."
Fertilisers,Chambal Fertilisers,1,"Chambal Fertilisers & Chemicals Ltd (zuari group) : Uttam brand : lead supplier of Rajastan. Good coverage in North, East and West India. It was founded by KK Birla who gave ownership of Zuari Agro Chemicals now rebranded as adventz group (Saroj Poddar) and Chambal Fertizers to (both son-in-law, Saroj - Chairman and one more - VC). KM Birla has minimal holding in Zuari Agro throuh Pilani Investment."
Fertilisers,Rashtriya Chemical and Fertilizer,0,"Rashtriya Chemical and Fertilizer (RCF) - PSU, Several fragemented PSUs like RCF (Rashtriya Chemical & Fertilizer), NFL (National Fertilizer), GSFC (Gujrat State Fertilizer Corp), GNFC (Gujrat Narmada Fertilizer corp)"
Fertilisers,National Fertilizer Limited ,0,National Fertilizer Limited (NFL) - PSU
Finance - General,none,0,
Finance - Insurance,none,0,"General Insurance : Smaller players - National Insurance, United India and Oriental Insurance"
Finance - Insurance,ICICI Lombard,1,"ICICI Lombard General Insurance (Only player, listed in Diversified. Canadian Warren Buffet (Prem Watsa's) Fairfax holdings also has a stake in it.)"
Finance - Insurance,The New India Assurance,1,The New India Assurance(NIA) - Largest general insurance company in India.
Finance - Insurance,General Insurance,1,"GIC RE (General Insurance corporation of India - Reinsurance) : reinsurance services in key businesses such as fire (property), General Insurance Corporation of Indiamarine, motor, engineering, agriculture, aviation, health, liability, credit and financial liability and life insurance"
Finance - Insurance,IIFL Holdings,1,IIFL Holdings (Prem Watsa Group)
Finance - Insurance,ICICI Prudential,1,ICICI Prudential Life Insurance (JV with Prudential PLC of UK)
Finance - Insurance,SBI Life,1,SBI Life (JV with BNP Paribas Cardiff - French bank and financial services company) - IPO
Finance - Insurance,HDFC Standard Life,1,HDFC Standard Life (JV with Standard Life of UK - provider of financial savings & investments) - IPO
Finance - Housing,none,0,Price to book value is a key criteria. HUDCO is listed in real estate.
Finance - Housing,HDFC,1,HDFC
Finance - Housing,LIC housing finance,1,LIC housing finance
Finance - Housing,Indiabulls housing finance,1,Indiabulls housing finance
Finance - Housing,Dewan Housing Finance,1,Dewan Housing Finance Limited (DHFL. Wadhawan group company. Affordable segment). LIC & Rakesh Jwala are also investors.
Finance - Investments,Muthoot Finance,1,Muthoot Finance (largest gold finance company in the world). Muthoot Papachchan group company. Top Gold loan provider. Mannapuram has to cover some more distance.
Finance - Investments,Bajaj FinServ,1,Bajaj FinServ (subsidiary of Bajaj Holdings & Investments). Bajaj Finance and its  JV with Allianz group. The standalone earming and profit may be less but consolidated revenue and profit is high because of Bajaj Finance and JV Bajaj Allianz.
Finance - Investments,Tata Investment Corp,1,Tata Investment Corp (holding company of tata companies similar to Tata Sons). Mostly dividend income. They should share dividend income with owners or invest in new businesses. OPM should be very high as not much expense. 
Finance - Investments,TI financial holding,1,"TI financial holding (parent of Cholamandalm finance and ms chola insurance, part of murugappa group)"
Finance - Investments,L&T Finance Holdings,1,L&T Finance Holdings (LTFS : L&T Financial Servies) 
Finance - Investments,Aditya Birla Capital,0,"Aditya Birla Capital (Financing, Investing, Insurance etc) : TBB"
Finance - Leasing & Hire Purchase,Bajaj Finance,1,Bajaj Finance (covered as subsidiary of Bajaj FinServ above) : mostly for two and three wheelers but covers other categories also.
Finance - Leasing & Hire Purchase,Shriram Transport Finance,1,Shriram Transport Finance Corp - STFC (focus on auto finance)
Finance - Leasing & Hire Purchase,Mahindra & Mahindra Financial,1,"Mahindra & Mahindra Financial Services Limited (all verticals) : car, tractor, farm equipment, rural housing etc and other verticals also now"
Finance - Leasing & Hire Purchase,Manappuram Finance,1,Manappuram Finance (Gold loan) : Muthoot finance is a bigger player and that is enough. Manapuuram has gold brand value with tie up to all top celebrities by region wise.
Finance - Leasing & Hire Purchase,Cholamandalam Investment & Finance,1,Cholamandalam Investment & Finance Company Ltd (Murugappa group). Subsidiary of TI Financial Holdings.
Finance - Leasing & Hire Purchase,Sundaram Finance,1,"Sundaram Finance is a parent of Sundaram Finance holdings. Also, it includes Sundaram Mutual, Sundram BNP Paribas Home Finance, Royal Sundram General Insurance, Sundram BNP Paribas Fund Services."
Finance - Leasing & Hire Purchase,Shriram City Union,0,
Finance - Term Lending Institutions,Power Finance,1,Power Finance Corporation - CPSE Navaratna company
Finance - Term Lending Institutions,Rural Electrification Corporation,1,REC (Rural Electrification Corporation) - CPSE Navaratna company
,,,
Food Processing,Nestle,1,"Nestle (Fortune Global 500) : Maggi noodles and maggi sauce, Milk powder (Everyday dairy whitener), Baby Food leader (Cerelac, Nestum), Nestle Curd, Bru Coffee, NesCafe (Coffee) and NesTea (tea) and Chocolates like kitkat, milkybar, munch, barone, polo etc,  Share price: 5K"
Food Processing,Britannia,1,"Britania (Biscuits, Bread, Rusk, Cake). India's number one biscuit maker. Parle leads in econmoy category but that is not listed. Birtania ia leader in all segment. it has a market share of 38%.) Brands: Britania, Tiger. Tagline : Have a Good Day. It is a part of Wadia group company that also owns ... go Air, bomay dyeing, Bomay Burmah trading etc.The group also owns fashin magazine Gladrags. Share Price : 3500 Rs"
Food Processing,GlaxoSmithKline Consumer,1,"GSK Consumer : GlaxoSmithKline Consumer Healthcare Ltd: International biggie : leader in milk mix (Horlicks, Boost & Maltova), Crocin (Tablet, Syrup), Iodex, ENO, Otrivian (Nasal spray), OstoCalcium (Calcium, phosporus), Sensodyne (Toothpaste), Voltaren (like moov)"
Food Processing,Varun Beverages,1,"Varun Beverages (Ravi kant and Varun Jaipuria, Pepsi Franchise) : one of the largest franchisee for Pepsi. Brands include Pepsi, Diet Pepsi, Seven-Up, Mirinda Orange, Mirinda Lemon, Mountain Dew, Seven-Up Nimbooz Masala Soda, Seven-Up Revive, Evervess Soda. PepsiCo NCB brands produced and sold by us include Tropicana Slice, Tropicana Frutz (Lychee, Apple and Mango), Seven-Up Nimbooz as well as packaged drinking water under the brand Aquafina."
Food Processing,Coffee Day,1,"Coffee Day Enterpises has a subsidiary Coffee Day Global limited that owns Cafe Cofee Day. Cafe Coffee Day (Indian cafe chain, Founder V G Siddharth is Son-in-Law of former CM S M Krishna (political risk). The company is diversifying into unrelated territory that has nothing to do with this business. No dividend for last 3 years. IT Raids in 2017 september. "
Food Processing,KRBL,1,KRBL (KRB Limited : Worlds larges rice millers and basmati exporters). India Gate Basmati Rice is a flagship brand apart from several other brands. LT foods that sells Dawat is another competitor. ITC also wants to make in roads in rice.
