ticker	bat	cmp	low_52w	high_52w	mos
BATAINDIA	1674	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A12),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A12),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A12),"high52"))	=ROUND((B12-C12)*100/C12)
BEL	130	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A13),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A13),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A13),"high52"))	=ROUND((B13-C13)*100/C13)
BERGEPAINT	362	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A14),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A14),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A14),"high52"))	=ROUND((B14-C14)*100/C14)
BLUEDART	2500	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A15),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A15),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A15),"high52"))	=ROUND((B15-C15)*100/C15)
BLUESTARCO	873	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A16),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A16),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A16),"high52"))	=ROUND((B16-C16)*100/C16)
BOSCHLTD	13190	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A17),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A17),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A17),"high52"))	=ROUND((B17-C17)*100/C17)
BRITANNIA	3446	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A18),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A18),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A18),"high52"))	=ROUND((B18-C18)*100/C18)
CASTROLIND	154	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A19),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A19),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A19),"high52"))	=ROUND((B19-C19)*100/C19)
COALINDIA	243	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A20),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A20),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A20),"high52"))	=ROUND((B20-C20)*100/C20)
COLPAL	1430	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A21),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A21),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A21),"high52"))	=ROUND((B21-C21)*100/C21)
CONCOR	642	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A22),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A22),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A22),"high52"))	=ROUND((B22-C22)*100/C22)
CUMMINSIND	775	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A23),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A23),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A23),"high52"))	=ROUND((B23-C23)*100/C23)
CYIENT	554	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A24),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A24),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A24),"high52"))	=ROUND((B24-C24)*100/C24)
DABUR	483	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A25),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A25),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A25),"high52"))	=ROUND((B25-C25)*100/C25)
DELTACORP	317	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A26),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A26),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A26),"high52"))	=ROUND((B26-C26)*100/C26)
DIVISLAB	1699	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A27),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A27),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A27),"high52"))	=ROUND((B27-C27)*100/C27)
EICHERMOT	21988	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A28),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A28),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A28),"high52"))	=ROUND((B28-C28)*100/C28)
ENDURANCE	1060	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A29),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A29),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A29),"high52"))	=ROUND((B29-C29)*100/C29)
ENGINERSIN	130	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A30),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A30),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A30),"high52"))	=ROUND((B30-C30)*100/C30)
EXIDEIND	247	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A31),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A31),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A31),"high52"))	=ROUND((B31-C31)*100/C31)
FINCABLES	400	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A32),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A32),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A32),"high52"))	=ROUND((B32-C32)*100/C32)
FINPIPE	605	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A33),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A33),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A33),"high52"))	=ROUND((B33-C33)*100/C33)
GAIL	157	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A34),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A34),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A34),"high52"))	=ROUND((B34-C34)*100/C34)
GILLETTE	7750	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A35),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A35),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A35),"high52"))	=ROUND((B35-C35)*100/C35)
GLAXO	1590	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A36),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A36),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A36),"high52"))	=ROUND((B36-C36)*100/C36)
GODREJAGRO	570	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A37),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A37),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A37),"high52"))	=ROUND((B37-C37)*100/C37)
GODREJCP	741	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A38),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A38),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A38),"high52"))	=ROUND((B38-C38)*100/C38)
GRAPHITE	519	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A39),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A39),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A39),"high52"))	=ROUND((B39-C39)*100/C39)
GRINDWELL	635	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A40),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A40),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A40),"high52"))	=ROUND((B40-C40)*100/C40)
HAVELLS	700	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A41),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A41),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A41),"high52"))	=ROUND((B41-C41)*100/C41)
HCLTECH	1202	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A42),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A42),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A42),"high52"))	=ROUND((B42-C42)*100/C42)
HDFCAMC	2655	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A43),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A43),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A43),"high52"))	=ROUND((B43-C43)*100/C43)
HEG	900	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A44),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A44),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A44),"high52"))	=ROUND((B44-C44)*100/C44)
HEROMOTOCO	2906	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A45),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A45),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A45),"high52"))	=ROUND((B45-C45)*100/C45)
HEXAWARE	396	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A46),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A46),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A46),"high52"))	=ROUND((B46-C46)*100/C46)
HINDUNILVR	2041	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A47),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A47),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A47),"high52"))	=ROUND((B47-C47)*100/C47)
HINDZINC	240	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A48),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A48),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A48),"high52"))	=ROUND((B48-C48)*100/C48)
ICICIGI	1145	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A49),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A49),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A49),"high52"))	=ROUND((B49-C49)*100/C49)
IGL	401	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A50),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A50),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A50),"high52"))	=ROUND((B50-C50)*100/C50)
INFRATEL	274	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A51),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A51),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A51),"high52"))	=ROUND((B51-C51)*100/C51)
INFY	782	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A52),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A52),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A52),"high52"))	=ROUND((B52-C52)*100/C52)
ITC	318	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A53),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A53),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A53),"high52"))	=ROUND((B53-C53)*100/C53)
JUBLFOOD	1590	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A54),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A54),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A54),"high52"))	=ROUND((B54-C54)*100/C54)
KAJARIACER	613	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A55),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A55),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A55),"high52"))	=ROUND((B55-C55)*100/C55)
KANSAINER	520	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A56),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A56),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A56),"high52"))	=ROUND((B56-C56)*100/C56)
LALPATHLAB	1120	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A57),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A57),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A57),"high52"))	=ROUND((B57-C57)*100/C57)
LTI	1867	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A58),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A58),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A58),"high52"))	=ROUND((B58-C58)*100/C58)
LTTS	1801	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A59),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A59),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A59),"high52"))	=ROUND((B59-C59)*100/C59)
M&M	658	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A60),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A60),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A60),"high52"))	=ROUND((B60-C60)*100/C60)
MARICO	401	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A61),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A61),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A61),"high52"))	=ROUND((B61-C61)*100/C61)
MARUTI	7025	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A62),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A62),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A62),"high52"))	=ROUND((B62-C62)*100/C62)
MGL	1039	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A63),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A63),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A63),"high52"))	=ROUND((B63-C63)*100/C63)
MINDTREE	799	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A64),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A64),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A64),"high52"))	=ROUND((B64-C64)*100/C64)
MPHASIS	1096	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A65),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A65),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A65),"high52"))	=ROUND((B65-C65)*100/C65)
NATCOPHARM	644	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A66),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A66),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A66),"high52"))	=ROUND((B66-C66)*100/C66)
NATIONALUM	44	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A67),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A67),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A67),"high52"))	=ROUND((B67-C67)*100/C67)
NBCC	46	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A68),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A68),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A68),"high52"))	=ROUND((B68-C68)*100/C68)
NIITTECH	1448	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A69),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A69),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A69),"high52"))	=ROUND((B69-C69)*100/C69)
NMDC	110	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A70),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A70),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A70),"high52"))	=ROUND((B70-C70)*100/C70)
OFSS	4220	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A71),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A71),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A71),"high52"))	=ROUND((B71-C71)*100/C71)
ONGC	191	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A72),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A72),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A72),"high52"))	=ROUND((B72-C72)*100/C72)
PAGEIND	20947	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A73),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A73),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A73),"high52"))	=ROUND((B73-C73)*100/C73)
PETRONET	328	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A74),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A74),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A74),"high52"))	=ROUND((B74-C74)*100/C74)
PFIZER	3978	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A75),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A75),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A75),"high52"))	=ROUND((B75-C75)*100/C75)
PGHH	11441	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A76),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A76),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A76),"high52"))	=ROUND((B76-C76)*100/C76)
PIDILITIND	1319	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A77),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A77),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A77),"high52"))	=ROUND((B77-C77)*100/C77)
PIIND	1400	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A78),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A78),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A78),"high52"))	=ROUND((B78-C78)*100/C78)
RAMCOCEM	828	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A79),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A79),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A79),"high52"))	=ROUND((B79-C79)*100/C79)
RELAXO	642	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A80),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A80),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A80),"high52"))	=ROUND((B80-C80)*100/C80)
RNAM	334	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A81),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A81),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A81),"high52"))	=ROUND((B81-C81)*100/C81)
SANOFI	6929	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A82),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A82),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A82),"high52"))	=ROUND((B82-C82)*100/C82)
SHREECEM	19960	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A83),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A83),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A83),"high52"))	=ROUND((B83-C83)*100/C83)
SIEMENS	1568	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A84),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A84),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A84),"high52"))	=ROUND((B84-C84)*100/C84)
SKFINDIA	1840	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A85),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A85),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A85),"high52"))	=ROUND((B85-C85)*100/C85)
SOLARINDS	1220	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A86),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A86),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A86),"high52"))	=ROUND((B86-C86)*100/C86)
SUNTV	603	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A87),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A87),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A87),"high52"))	=ROUND((B87-C87)*100/C87)
SUPREMEIND	1173	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A88),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A88),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A88),"high52"))	=ROUND((B88-C88)*100/C88)
SYMPHONY	1452	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A89),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A89),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A89),"high52"))	=ROUND((B89-C89)*100/C89)
TCS	2029	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A90),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A90),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A90),"high52"))	=ROUND((B90-C90)*100/C90)
TECHM	756	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A91),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A91),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A91),"high52"))	=ROUND((B91-C91)*100/C91)
THERMAX	1156	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A92),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A92),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A92),"high52"))	=ROUND((B92-C92)*100/C92)
TITAN	1238	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A93),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A93),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A93),"high52"))	=ROUND((B93-C93)*100/C93)
TTKPRESTIG	6670	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A94),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A94),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A94),"high52"))	=ROUND((B94-C94)*100/C94)
TVSMOTOR	422	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A95),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A95),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A95),"high52"))	=ROUND((B95-C95)*100/C95)
